"site","standunique","stockdens","siteage","logged","year","jd","time","temp","obs","firstyr","W1","W2","W3","W4","W5","W6","W7","W8","W9","year.unscale","temp.unscale","jd.unscale","time.unscale","siteage.unscale"
75,248,9,0.684663948105663,0,1.46492000261015,0.330758208715772,0.315321397201075,0.0535237444941372,92,0,2,0,0,0,0,0,0,0,0,2013,59,180,7.23333333333333,111
75,248,9,0.628029783053935,0,0.881707336994224,1.18415918515399,-0.578865526156835,0.612254803503743,87,0,4,0,1,0,0,1,0,0,0,2012,63,183,6.15,110
75,248,9,0.458127287898752,0,-0.867930659853561,0.899692193007918,-0.647649135645905,-0.924255608772674,80,1,2,0,1,0,0,0,0,0,0,2009,52,182,6.06666666666667,107
75,248,9,0.51476145295048,0,-0.284717994237633,0.899692193007918,0.163997456325121,0.612254803503743,84,1,1,0,0,0,0,0,0,0,0,2010,63,182,7.05,108
75,248,9,0.571395618002208,0,0.298494671378296,1.18415918515399,-0.578865526156835,0.33288927399894,84,0,2,0,0,1,0,0,0,0,0,2011,61,183,6.15,109
76,248,9,0.684663948105663,0,1.46492000261015,0.330758208715772,0.0814571249382372,0.0535237444941372,92,0,1,1,0,0,0,0,0,0,1,2013,59,180,6.95,111
76,248,9,0.458127287898752,0,-0.867930659853561,0.899692193007918,-0.386271419587439,-0.784572844020272,80,1,2,0,1,1,0,0,0,0,0,2009,53,182,6.38333333333333,107
76,248,9,0.571395618002208,0,0.298494671378296,1.18415918515399,-0.345001253893997,0.472572038751342,84,0,3,0,0,0,0,0,0,0,0,2011,62,183,6.43333333333333,109
76,248,9,0.51476145295048,0,-0.284717994237633,0.899692193007918,0.384105006690145,0.612254803503743,84,1,2,0,1,0,0,0,0,0,0,2010,63,182,7.31666666666667,108
76,248,9,0.628029783053935,0,0.881707336994224,1.18415918515399,-0.248704200609299,0.612254803503743,87,0,2,0,0,0,0,0,0,0,0,2012,63,183,6.55,110
76,248,9,0.401493122847024,0,-1.45114332546949,0.0462912165696997,0.700509610339867,1.31066862726575,78,1,0,1,0,0,0,0,0,0,0,2008,68,179,7.7,106
77,248,9,-0.504653517980618,0,-1.45114332546949,0.0462912165696997,0.920617160704891,1.31066862726575,78,1,3,0,0,0,0,0,0,0,0,2008,68,179,7.96666666666667,90
77,248,9,-0.22148269272198,0,1.46492000261015,0.330758208715772,-0.166163869222415,0.0535237444941372,92,0,4,0,0,0,0,1,0,0,0,2013,59,180,6.65,95
77,248,9,-0.278116857773708,0,0.881707336994224,1.18415918515399,-0.0148399283464612,0.612254803503743,87,0,1,0,0,1,0,1,0,1,0,2012,63,183,6.83333333333333,94
77,248,9,-0.391385187877163,0,-0.284717994237633,0.899692193007918,0.604212557055169,0.612254803503743,84,1,3,1,0,0,0,0,0,0,0,2010,63,182,7.58333333333333,92
77,248,9,-0.448019352928891,0,-0.867930659853561,0.899692193007918,-0.179920591120229,-0.924255608772674,80,1,4,1,0,0,0,0,0,0,0,2009,52,182,6.63333333333333,91
77,248,9,-0.334751022825435,0,0.298494671378296,1.18415918515399,-0.111136981631159,0.33288927399894,84,0,2,0,0,0,0,0,0,0,0,2011,61,183,6.71666666666667,93
155,201,9,0.118322297588386,0,0.298494671378296,-0.807109759868518,-0.0836235378355309,1.59003415677055,87,1,3,0,0,0,0,0,0,0,0,2011,70,176,6.75,101
155,201,9,0.231590627691841,0,1.46492000261015,-2.22944472059888,-0.193677313018043,-1.20362113827748,87,0,2,0,0,0,0,1,1,0,0,2013,50,171,6.61666666666667,103
155,201,9,0.00505396748493073,0,-0.867930659853561,1.75309316944614,-0.289974366302741,-1.06393837352508,81,1,3,1,0,0,0,0,0,0,0,2009,51,185,6.5,99
155,201,9,-0.0515801975667969,0,-1.45114332546949,0.899692193007918,-0.193677313018043,-0.972539665076493,79,1,4,1,0,0,0,0,0,0,0,2008,51.6543306084369,182,6.61666666666667,98
155,201,9,0.0616881325366584,0,-0.284717994237633,0.0462912165696997,-0.262460922507113,-0.64489007926787,85,1,1,0,0,2,0,0,0,1,0,2010,54,179,6.53333333333333,100
155,201,9,0.174956462640114,0,0.881707336994224,0.330758208715772,0.494158781872657,1.03130309776095,91,1,1,0,0,1,0,0,1,0,0,2012,66,180,7.45,102
156,201,9,1.87398141419194,0,-0.284717994237633,0.0462912165696997,-0.0423533721420891,-0.64489007926787,85,1,2,1,0,0,1,0,0,0,0,2010,54,179,6.8,132
156,201,9,2.04388390934713,0,1.46492000261015,-2.22944472059888,-0.0148399283464612,-1.20362113827748,87,0,2,0,0,1,1,0,0,0,0,2013,50,171,6.83333333333333,135
156,201,9,1.9872497442954,0,0.881707336994224,0.330758208715772,0.700509610339867,1.59003415677055,91,1,1,0,1,0,0,0,0,0,0,2012,70,180,7.7,134
156,201,9,1.93061557924367,0,0.298494671378296,-0.807109759868518,0.0952138468360511,1.59003415677055,87,1,2,0,0,0,0,0,0,0,0,2011,70,176,6.96666666666667,133
156,201,9,1.81734724914022,0,-0.867930659853561,1.75309316944614,-0.111136981631159,-0.924255608772674,81,1,4,0,0,0,0,0,0,0,1,2009,52,185,6.71666666666667,131
156,201,9,1.76071308408849,0,-1.45114332546949,0.899692193007918,-0.0148399283464612,-0.881087996266247,79,1,3,1,0,1,0,0,0,0,0,2008,52.3090403643065,182,6.83333333333333,130
157,201,9,1.93061557924367,0,0.298494671378296,-0.807109759868518,0.287807953405447,0.0535237444941372,87,1,3,0,0,0,0,0,0,0,0,2011,59,176,7.2,133
157,201,9,2.04388390934713,0,1.46492000261015,-2.22944472059888,0.177754178222935,-1.20362113827748,87,0,2,0,1,0,2,0,0,0,1,2013,50,171,7.06666666666667,135
157,201,9,1.9872497442954,0,0.881707336994224,0.330758208715772,0.893103716909263,1.45035139201815,91,1,1,0,0,0,1,0,0,0,0,2012,69,180,7.93333333333333,134
157,201,9,1.87398141419194,0,-0.284717994237633,0.0462912165696997,0.122727290631679,-0.64489007926787,85,1,1,0,0,0,0,1,0,0,0,2010,54,179,7,132
157,201,9,1.76071308408849,0,-1.45114332546949,0.899692193007918,0.150240734427307,-0.796671071210636,79,1,3,2,0,0,0,0,0,0,0,2008,52.9133878312632,182,7.03333333333333,130
157,201,9,1.81734724914022,0,-0.867930659853561,1.75309316944614,0.0539436811426093,-1.06393837352508,81,1,3,0,0,0,0,0,0,0,0,2009,51,185,6.91666666666667,131
158,203,9,0.00505396748493073,0,-0.867930659853561,1.75309316944614,-0.455055029076509,-1.06393837352508,81,1,2,0,0,0,0,0,0,0,0,2009,51,185,6.3,99
158,203,9,-0.0515801975667969,0,-1.45114332546949,0.899692193007918,-0.826486520317487,-1.29613787778967,79,1,2,0,2,0,0,0,0,0,0,2008,49.3376653184365,182,5.85,98
158,203,9,0.174956462640114,0,0.881707336994224,0.330758208715772,1.14072471106991,1.72971692152296,91,1,2,0,0,0,0,0,0,0,0,2012,71,180,8.23333333333333,102
158,203,9,0.231590627691841,0,1.46492000261015,-2.22944472059888,-0.881513407908743,-1.20362113827748,87,0,3,0,0,0,0,1,0,0,0,2013,50,171,5.78333333333333,103
158,203,9,0.118322297588386,0,0.298494671378296,-0.807109759868518,0.535428947566099,0.0535237444941372,87,1,2,0,0,0,0,0,0,0,0,2011,59,176,7.5,101
158,203,9,0.0616881325366584,0,-0.284717994237633,0.0462912165696997,0.356591562894517,-0.64489007926787,85,1,1,0,0,0,0,0,0,0,1,2010,54,179,7.28333333333333,100
159,203,9,0.231590627691841,0,1.46492000261015,-2.22944472059888,-0.688919301339347,-1.20362113827748,87,0,2,0,1,0,0,1,1,0,0,2013,50,171,6.01666666666667,103
159,203,9,0.174956462640114,0,0.881707336994224,0.330758208715772,1.33331881763931,1.72971692152296,91,1,1,0,1,0,1,0,0,0,0,2012,71,180,8.46666666666667,102
159,203,9,0.118322297588386,0,0.298494671378296,-0.807109759868518,0.728023054135495,0.0535237444941372,87,1,5,0,0,0,0,0,0,0,0,2011,59,176,7.73333333333333,101
159,203,9,0.0616881325366584,0,-0.284717994237633,0.0462912165696997,0.535428947566099,-0.64489007926787,85,1,2,0,1,0,0,0,1,0,0,2010,54,179,7.5,100
159,203,9,0.00505396748493073,0,-0.867930659853561,1.75309316944614,-0.647649135645905,-1.34330390302988,81,1,1,0,0,0,0,0,0,0,0,2009,49,185,6.06666666666667,99
159,203,9,-0.0515801975667969,0,-1.45114332546949,0.899692193007918,-0.647649135645905,-1.20468620897943,79,1,2,0,0,2,0,0,0,0,0,2008,49.9923750743061,182,6.06666666666667,98
160,203,9,-0.0515801975667969,0,-0.284717994237633,0.0462912165696997,0.741779776033309,-0.64489007926787,85,1,1,1,0,0,1,0,1,0,0,2010,54,179,7.75,98
160,203,9,0.00505396748493073,0,0.298494671378296,-0.807109759868518,0.920617160704891,0.0535237444941372,87,1,3,0,0,0,1,0,0,0,0,2011,59,176,7.96666666666667,99
160,203,9,0.118322297588386,0,1.46492000261015,-2.22944472059888,-0.482568472872137,-1.20362113827748,87,0,1,1,1,1,0,0,0,0,0,2013,50,171,6.26666666666667,101
160,203,9,-0.164848527670252,0,-1.45114332546949,0.899692193007918,-0.455055029076509,-1.10619979641454,79,1,3,0,0,0,0,0,0,0,0,2008,50.6974471190889,182,6.3,96
160,203,9,-0.108214362618525,0,-0.867930659853561,1.75309316944614,-0.826486520317487,-1.34330390302988,81,1,2,0,0,2,0,0,0,0,0,2009,49,185,5.85,97
160,203,9,0.0616881325366584,0,0.881707336994224,0.330758208715772,1.52591292420871,1.59003415677055,91,1,2,0,0,0,0,0,0,0,0,2012,70,180,8.7,100
161,204,9,0.00505396748493073,0,-0.867930659853561,1.75309316944614,-1.00532390498907,-1.48298666778228,81,1,1,0,1,0,0,0,1,0,0,2009,48,185,5.63333333333333,99
161,204,9,0.0616881325366584,0,-0.284717994237633,0.0462912165696997,1.45712931471964,-0.505207314515469,85,1,1,0,0,0,0,1,0,0,0,2010,55,179,8.61666666666667,100
161,204,9,-0.0515801975667969,0,-1.45114332546949,0.899692193007918,-1.14289112396721,-1.45793698414626,79,1,2,1,0,0,1,0,0,0,0,2008,48.1793326734363,182,5.46666666666667,98
161,204,9,0.231590627691841,0,1.46492000261015,-2.22944472059888,-1.6243763903907,-1.20362113827748,87,0,3,0,0,1,0,0,0,0,0,2013,50,171,4.88333333333333,103
161,204,9,0.174956462640114,0,0.881707336994224,0.330758208715772,2.24126246289503,2.14876521578016,91,1,2,1,0,0,0,0,0,0,0,2012,74,180,9.56666666666667,102
161,204,9,0.118322297588386,0,0.298494671378296,-0.807109759868518,1.64972342128903,0.0535237444941372,87,1,2,0,0,0,0,0,0,0,0,2011,59,176,8.85,101
162,204,9,0.0616881325366584,0,-0.284717994237633,0.0462912165696997,1.26453520815024,-0.64489007926787,85,1,1,0,0,1,0,0,0,0,0,2010,54,179,8.38333333333333,100
162,204,9,-0.0515801975667969,0,-1.45114332546949,0.899692193007918,-1.32172850863879,-1.54938865295651,79,1,4,0,0,0,0,0,0,0,0,2008,47.5246229175666,182,5.25,98
162,204,9,0.118322297588386,0,0.298494671378296,-0.807109759868518,1.44337259282182,0.0535237444941372,87,1,1,0,0,0,0,0,0,0,0,2011,59,176,8.6,101
162,204,9,0.00505396748493073,0,-0.867930659853561,1.75309316944614,-1.39051211812786,-1.48298666778228,81,1,4,0,0,0,0,0,0,0,0,2009,48,185,5.16666666666667,99
162,204,9,0.174956462640114,0,0.881707336994224,0.330758208715772,2.0073981906322,1.72971692152296,91,1,0,0,1,0,0,0,0,0,0,2012,71,180,9.28333333333333,102
162,204,9,0.231590627691841,0,1.46492000261015,-2.22944472059888,-1.40426884002567,-1.20362113827748,87,0,0,1,0,0,0,0,0,0,0,2013,50,171,5.15,103
163,204,9,0.231590627691841,0,1.46492000261015,-2.22944472059888,-1.21167473345628,-1.20362113827748,87,0,2,0,0,1,0,0,0,0,0,2013,50,171,5.38333333333333,103
163,204,9,0.00505396748493073,0,-0.867930659853561,1.75309316944614,-1.18416128966065,-1.48298666778228,81,1,2,0,0,0,0,0,0,0,0,2009,48,185,5.41666666666667,99
163,204,9,-0.0515801975667969,0,-1.45114332546949,0.899692193007918,-1.528079337106,-1.65490980927602,79,1,4,0,0,0,0,0,0,0,0,2008,46.7691885838708,182,5,98
163,204,9,0.174956462640114,0,0.881707336994224,0.330758208715772,1.82856080596061,1.86939968627536,91,1,1,0,0,0,0,0,0,0,0,2012,72,180,9.06666666666667,102
163,204,9,0.0616881325366584,0,-0.284717994237633,0.0462912165696997,1.08569782347866,-0.505207314515469,85,1,0,0,0,1,1,0,1,0,0,2010,55,179,8.16666666666667,100
163,204,9,0.118322297588386,0,0.298494671378296,-0.807109759868518,1.23702176435461,0.0535237444941372,87,1,2,0,0,0,0,0,0,0,0,2011,59,176,8.35,101
164,202,9,0.00505396748493073,0,0.298494671378296,-0.807109759868518,-0.345001253893997,1.03130309776095,87,1,1,0,0,0,0,1,0,0,0,2011,66,176,6.43333333333333,99
164,202,9,0.0616881325366584,0,0.881707336994224,0.330758208715772,0.177754178222935,0.751937568256145,91,1,0,0,0,0,0,0,0,0,0,2012,64,180,7.06666666666667,100
164,202,9,-0.164848527670252,0,-1.45114332546949,0.899692193007918,1.93861458114313,0.117845616891829,79,1,0,1,0,0,0,0,0,0,0,2008,59.4604853899599,182,9.2,96
164,202,9,-0.108214362618525,0,-0.867930659853561,1.75309316944614,0.219024343916377,-0.784572844020272,81,1,3,0,1,0,0,0,1,0,0,2009,53,185,7.11666666666667,97
164,202,9,-0.0515801975667969,0,-0.284717994237633,0.0462912165696997,-0.455055029076509,-0.505207314515469,85,1,1,0,0,0,0,0,0,0,0,2010,55,179,6.3,98
164,202,9,0.118322297588386,0,1.46492000261015,-2.22944472059888,0.494158781872657,0.612254803503743,87,0,1,0,0,0,0,0,0,0,0,2013,63,171,7.45,101
165,202,9,-0.108214362618525,0,-0.867930659853561,1.75309316944614,0.425375172383587,-0.784572844020272,81,1,3,0,1,0,0,0,0,0,0,2009,53,185,7.36666666666667,97
165,202,9,0.00505396748493073,0,0.298494671378296,-0.807109759868518,-0.853999964113115,1.59003415677055,87,1,1,0,0,0,0,0,0,0,0,2011,70,176,5.81666666666667,99
165,202,9,0.118322297588386,0,1.46492000261015,-2.22944472059888,0.989400770193961,0.612254803503743,87,0,2,1,0,0,1,0,0,0,0,2013,63,171,8.05,101
165,202,9,-0.164848527670252,0,-1.45114332546949,0.899692193007918,1.34707553953712,-0.184648364557449,79,1,2,0,1,0,0,0,0,0,0,2008,57.2949069666987,182,8.48333333333333,96
165,202,9,-0.0515801975667969,0,-0.284717994237633,0.0462912165696997,-0.909026851704371,-0.505207314515469,85,1,3,0,0,0,0,1,0,2,0,2010,55,179,5.75,98
165,202,9,0.0616881325366584,0,0.881707336994224,0.330758208715772,-0.455055029076509,0.472572038751342,91,1,1,0,0,1,0,0,0,1,0,2012,62,180,6.3,100
166,202,9,0.00505396748493073,0,0.298494671378296,-0.807109759868518,-0.633892413748091,1.03130309776095,87,1,3,0,0,0,1,0,0,0,0,2011,66,176,6.08333333333333,99
166,202,9,0.0616881325366584,0,0.881707336994224,0.330758208715772,-0.207434034915857,0.612254803503743,91,1,2,0,0,0,0,0,1,0,0,2012,63,180,6.6,100
166,202,9,-0.0515801975667969,0,-0.284717994237633,0.0462912165696997,-0.565108804259021,-0.505207314515469,85,1,1,0,0,1,0,0,0,0,0,2010,55,179,6.16666666666667,98
166,202,9,0.118322297588386,0,1.46492000261015,-2.22944472059888,0.741779776033309,0.612254803503743,87,0,1,0,0,0,1,0,0,0,0,2013,63,171,7.75,101
166,202,9,-0.108214362618525,0,-0.867930659853561,1.75309316944614,0.590455835157355,3.12654456904697,81,1,3,0,0,1,0,0,0,0,0,2009,81,185,7.56666666666667,97
166,202,9,-0.164848527670252,0,-1.45114332546949,0.899692193007918,1.58093981179996,-0.0650577207286654,79,1,1,0,0,0,1,0,0,1,0,2008,58.1510658782206,182,8.76666666666667,96
167,200,9,2.27042056955404,0,-0.284717994237633,0.0462912165696997,-1.59686294659507,-0.505207314515469,85,1,2,0,1,0,0,0,0,0,0,2010,55,179,4.91666666666667,139
167,200,9,2.32705473460577,0,0.298494671378296,-0.807109759868518,-1.66564655608414,1.59003415677055,87,1,0,0,0,0,0,0,0,1,0,2011,70,176,4.83333333333333,140
167,200,9,2.15715223945058,0,-1.45114332546949,0.899692193007918,0.425375172383587,-0.655976196117949,79,1,4,0,0,0,0,0,0,0,0,2008,53.9206336095242,182,7.36666666666667,137
167,200,9,2.21378640450231,0,-0.867930659853561,1.75309316944614,0.783049941726751,-0.505207314515469,81,1,3,0,0,0,1,0,0,1,0,2009,55,185,7.8,138
167,200,9,2.44032306470922,0,1.46492000261015,-2.22944472059888,1.23702176435461,0.751937568256145,87,0,2,0,0,1,0,0,1,0,0,2013,64,171,8.35,142
167,200,9,2.38368889965749,0,0.881707336994224,0.330758208715772,-1.32172850863879,0.0535237444941372,91,1,1,0,1,0,0,0,1,0,0,2012,59,180,5.25,141
168,200,9,2.21378640450231,0,-0.867930659853561,1.75309316944614,0.948130604500519,-0.365524549763067,81,1,2,1,0,1,0,0,0,1,0,2009,56,185,8,138
168,200,9,2.32705473460577,0,0.298494671378296,-0.807109759868518,-1.44553900571912,1.03130309776095,87,1,1,1,0,0,0,0,0,0,0,2011,66,176,5.1,140
168,200,9,2.38368889965749,0,0.881707336994224,0.330758208715772,-0.785216354624045,0.33288927399894,91,1,1,0,0,0,0,0,0,0,0,2012,61,180,5.9,141
168,200,9,2.15715223945058,0,-1.45114332546949,0.899692193007918,0.906860438807077,-0.409760164705746,79,1,4,0,0,0,0,0,0,0,0,2008,55.683313721481,182,7.95,137
168,200,9,2.27042056955404,0,-0.284717994237633,0.0462912165696997,-1.18416128966065,-0.505207314515469,85,1,3,0,0,1,0,0,0,0,0,2010,55,179,5.41666666666667,139
168,200,9,2.44032306470922,0,1.46492000261015,-2.22944472059888,1.45712931471964,0.751937568256145,87,0,3,1,0,0,1,0,0,0,0,2013,64,171,8.61666666666667,142
169,200,9,2.44032306470922,0,1.46492000261015,-2.22944472059888,1.7185070307781,0.751937568256145,87,0,3,0,0,0,0,0,0,0,0,2013,64,171,8.93333333333333,142
169,200,9,2.32705473460577,0,0.298494671378296,-0.807109759868518,-1.18416128966065,0.751937568256145,87,1,2,1,1,0,0,0,0,0,0,2011,64,176,5.41666666666667,140
169,200,9,2.21378640450231,0,-0.867930659853561,1.75309316944614,1.1269679891721,-0.225841785010666,81,1,1,0,0,0,0,0,0,0,0,2009,57,185,8.21666666666667,138
169,200,9,2.38368889965749,0,0.881707336994224,0.330758208715772,-1.08786423637595,0.33288927399894,91,1,2,0,0,0,0,0,0,0,0,2012,61,180,5.53333333333333,141
169,200,9,2.27042056955404,0,-0.284717994237633,0.0462912165696997,-1.39051211812786,-0.505207314515469,85,1,3,0,0,0,0,0,0,0,0,2010,55,179,5.16666666666667,139
169,200,9,2.15715223945058,0,-1.45114332546949,0.899692193007918,0.659239444646425,-0.536385552289166,79,1,3,0,0,0,0,0,0,0,0,2008,54.7767925210461,182,7.65,137
170,219,9,-0.164848527670252,0,-0.867930659853561,-0.522642767722446,-1.08786423637595,-0.64489007926787,81,1,2,0,0,1,0,0,0,0,0,2009,54,177,5.53333333333333,96
170,219,9,-0.22148269272198,0,-1.45114332546949,0.615225200861845,-0.950297017397813,0.472572038751342,78,1,3,0,0,0,0,0,0,0,0,2008,62,181,5.7,95
170,219,9,-0.108214362618525,0,-0.284717994237633,-0.522642767722446,-1.528079337106,0.193206509246539,85,1,2,1,0,0,0,0,0,0,0,2010,60,177,5,97
170,219,9,0.00505396748493073,0,0.881707336994224,0.0462912165696997,-1.11537768017158,0.612254803503743,92,1,1,0,2,0,0,0,1,0,0,2012,63,179,5.5,99
170,219,9,0.0616881325366584,0,1.46492000261015,-1.37604374416066,-1.61061966849288,0.193206509246539,92,0,0,1,0,1,0,0,0,1,0,2013,60,174,4.9,100
170,219,9,-0.0515801975667969,0,0.298494671378296,-1.09157675201459,-0.895270129806557,-0.505207314515469,86,1,1,0,0,0,0,0,1,0,0,2011,55,175,5.76666666666667,98
171,219,9,0.00505396748493073,0,0.881707336994224,0.0462912165696997,-0.771459632726231,0.751937568256145,92,1,5,0,0,0,0,0,0,0,0,2012,64,179,5.91666666666667,99
171,219,9,-0.0515801975667969,0,0.298494671378296,-1.09157675201459,-0.675162579441533,-0.505207314515469,86,1,2,0,0,0,0,0,0,0,0,2011,55,175,6.03333333333333,98
171,219,9,0.0616881325366584,0,1.46492000261015,-1.37604374416066,-1.17040456776284,0.33288927399894,92,0,2,0,0,0,1,1,0,0,0,2013,61,174,5.43333333333333,100
171,219,9,-0.164848527670252,0,-0.867930659853561,-0.522642767722446,-1.28045834294535,-0.505207314515469,81,1,2,1,0,0,0,0,0,0,0,2009,55,177,5.3,96
171,219,9,-0.108214362618525,0,-0.284717994237633,-0.522642767722446,-1.32172850863879,0.193206509246539,85,1,1,0,0,0,1,1,0,0,0,2010,60,177,5.25,97
171,219,9,-0.22148269272198,0,-1.45114332546949,0.615225200861845,-0.730189467032789,0.472572038751342,78,1,0,0,2,0,0,0,0,0,0,2008,62,181,5.96666666666667,95
172,219,9,-0.164848527670252,0,-0.867930659853561,-0.522642767722446,-1.47305244951475,-0.784572844020272,81,1,3,0,0,0,1,0,0,0,0,2009,53,177,5.06666666666667,96
