"","abbrev","site","standunique","fstype","fstypename","stockdens","siteage","logged","year","jd","time","temp","obs","firstyr","X1","X2","X3","W1","W2","W3","W4","W5","W6","W7","W8","W9","N","year.unscale","temp.unscale","jd.unscale","time.unscale","siteage.unscale"
"181","OVEN","7","236","028","Red pine","8",1.25100559862294,1,0.298494671378296,0.0462912165696997,-0.386271419587439,-0.924255608772674,"86",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"2011",52,179,6.38333333333333,121
"183","OVEN","7","236","028","Red pine","8",1.13773726851948,1,-0.867930659853561,-1.09157675201459,-0.221190756813671,-0.784572844020272,"79",0,1,0,0,1,0,0,0,0,0,0,0,0,1,"2009",53,175,6.58333333333333,119
"190","OVEN","8","236","028","Red pine","8",1.13773726851948,0,-0.867930659853561,-1.09157675201459,-0.0285966502442752,-0.225841785010666,"79",0,2,1,0,2,0,0,1,0,0,0,0,0,3,"2009",57,175,6.81666666666667,119
"193","OVEN","8","236","028","Red pine","8",1.19437143357121,0,-0.284717994237633,0.330758208715772,0.136484012529493,-2.60044878580149,"85",1,2,0,0,2,0,0,0,0,0,0,0,0,2,"2010",40,180,7.01666666666667,120
"194","OVEN","8","236","028","Red pine","8",1.36427392872639,0,1.46492000261015,-2.22944472059888,0.329078119098889,0.33288927399894,"92",0,2,2,0,2,0,1,1,0,0,0,0,0,4,"2013",61,171,7.25,123
"200","OVEN","8","236","028","Red pine","8",1.08110310346776,0,-1.45114332546949,-0.807109759868518,0.865590273113635,1.03130309776095,"78",1,2,0,0,2,0,0,0,0,0,0,0,0,2,"2008",66,176,7.9,118
"201","OVEN","8","236","028","Red pine","8",1.30763976367467,0,0.881707336994224,0.330758208715772,0.329078119098889,0.193206509246539,"92",1,3,1,0,2,1,0,1,0,0,0,0,0,4,"2012",60,180,7.25,122
"206","OVEN","8","236","028","Red pine","8",1.25100559862294,0,0.298494671378296,0.0462912165696997,-0.152407147324601,-0.784572844020272,"86",1,4,0,0,4,0,0,0,0,0,0,0,0,4,"2011",53,179,6.66666666666667,121
"938","OVEN","49","281","027","Red pine","7",-1.24089766365308,1,1.46492000261015,0.615225200861845,-1.21167473345628,-1.48298666778228,"92",0,1,1,0,1,0,0,1,0,0,0,0,0,2,"2013",48,181,5.38333333333333,77
"940","OVEN","49","281","027","Red pine","7",-1.35416599375653,1,0.298494671378296,0.899692193007918,-0.661405857543719,2.28844798053256,"86",1,2,0,0,2,0,0,0,0,0,0,0,0,2,"2011",75,182,6.05,75
"946","OVEN","49","281","027","Red pine","7",-1.46743432385999,1,-0.867930659853561,1.46862617730006,0.934373882602705,0.751937568256145,"79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2009",64,184,7.98333333333333,73
"947","OVEN","49","281","027","Red pine","7",-1.29753182870481,1,0.881707336994224,1.18415918515399,-0.606378969952463,0.612254803503743,"79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012",63,183,6.11666666666667,76
"950","OVEN","49","281","027","Red pine","7",-1.52406848891172,1,-1.45114332546949,-0.238175775576373,0.177754178222935,-0.365524549763067,"75",1,1,0,2,1,0,0,0,1,0,0,1,0,3,"2008",56,178,7.06666666666667,72
"1409","OVEN","75","248","029","Red pine","9",0.401493122847024,0,-1.45114332546949,0.0462912165696997,0.466645338077029,1.31066862726575,"78",1,3,0,1,3,0,0,0,1,0,0,0,0,4,"2008",68,179,7.41666666666667,106
"1419","OVEN","75","248","029","Red pine","9",0.684663948105663,0,1.46492000261015,0.330758208715772,0.315321397201075,0.0535237444941372,"92",0,2,0,0,2,0,0,0,0,0,0,0,0,2,"2013",59,180,7.23333333333333,111
"1423","OVEN","75","248","029","Red pine","9",0.628029783053935,0,0.881707336994224,1.18415918515399,-0.578865526156835,0.612254803503743,"87",0,4,1,1,4,0,1,0,0,1,0,0,0,6,"2012",63,183,6.15,110
"1424","OVEN","75","248","029","Red pine","9",0.458127287898752,0,-0.867930659853561,0.899692193007918,-0.647649135645905,-0.924255608772674,"80",1,2,1,0,2,0,1,0,0,0,0,0,0,3,"2009",52,182,6.06666666666667,107
"1425","OVEN","75","248","029","Red pine","9",0.51476145295048,0,-0.284717994237633,0.899692193007918,0.163997456325121,0.612254803503743,"84",1,1,0,0,1,0,0,0,0,0,0,0,0,1,"2010",63,182,7.05,108
"1426","OVEN","75","248","029","Red pine","9",0.571395618002208,0,0.298494671378296,1.18415918515399,-0.578865526156835,0.33288927399894,"84",0,2,1,0,2,0,0,1,0,0,0,0,0,3,"2011",61,183,6.15,109
"1437","OVEN","76","248","029","Red pine","9",0.684663948105663,0,1.46492000261015,0.330758208715772,0.0814571249382372,0.0535237444941372,"92",0,2,0,1,1,1,0,0,0,0,0,0,1,3,"2013",59,180,6.95,111
"1439","OVEN","76","248","029","Red pine","9",0.458127287898752,0,-0.867930659853561,0.899692193007918,-0.386271419587439,-0.784572844020272,"80",1,2,2,0,2,0,1,1,0,0,0,0,0,4,"2009",53,182,6.38333333333333,107
"1440","OVEN","76","248","029","Red pine","9",0.571395618002208,0,0.298494671378296,1.18415918515399,-0.345001253893997,0.472572038751342,"84",0,3,0,0,3,0,0,0,0,0,0,0,0,3,"2011",62,183,6.43333333333333,109
"1442","OVEN","76","248","029","Red pine","9",0.51476145295048,0,-0.284717994237633,0.899692193007918,0.384105006690145,0.612254803503743,"84",1,2,1,0,2,0,1,0,0,0,0,0,0,3,"2010",63,182,7.31666666666667,108
"1444","OVEN","76","248","029","Red pine","9",0.628029783053935,0,0.881707336994224,1.18415918515399,-0.248704200609299,0.612254803503743,"87",0,2,0,0,2,0,0,0,0,0,0,0,0,2,"2012",63,183,6.55,110
"1446","OVEN","76","248","029","Red pine","9",0.401493122847024,0,-1.45114332546949,0.0462912165696997,0.700509610339867,1.31066862726575,"78",1,1,0,0,0,1,0,0,0,0,0,0,0,1,"2008",68,179,7.7,106
"1447","OVEN","77","248","029","Red pine","9",-0.504653517980618,0,-1.45114332546949,0.0462912165696997,0.920617160704891,1.31066862726575,"78",1,3,0,0,3,0,0,0,0,0,0,0,0,3,"2008",68,179,7.96666666666667,90
"1452","OVEN","77","248","029","Red pine","9",-0.22148269272198,0,1.46492000261015,0.330758208715772,-0.166163869222415,0.0535237444941372,"92",0,4,0,1,4,0,0,0,0,1,0,0,0,5,"2013",59,180,6.65,95
"1455","OVEN","77","248","029","Red pine","9",-0.278116857773708,0,0.881707336994224,1.18415918515399,-0.0148399283464612,0.612254803503743,"87",0,1,1,2,1,0,0,1,0,1,0,1,0,4,"2012",63,183,6.83333333333333,94
"1457","OVEN","77","248","029","Red pine","9",-0.391385187877163,0,-0.284717994237633,0.899692193007918,0.604212557055169,0.612254803503743,"84",1,4,0,0,3,1,0,0,0,0,0,0,0,4,"2010",63,182,7.58333333333333,92
"1460","OVEN","77","248","029","Red pine","9",-0.448019352928891,0,-0.867930659853561,0.899692193007918,-0.179920591120229,-0.924255608772674,"80",1,5,0,0,4,1,0,0,0,0,0,0,0,5,"2009",52,182,6.63333333333333,91
"1462","OVEN","77","248","029","Red pine","9",-0.334751022825435,0,0.298494671378296,1.18415918515399,-0.111136981631159,0.33288927399894,"84",0,2,0,0,2,0,0,0,0,0,0,0,0,2,"2011",61,183,6.71666666666667,93
"2798","OVEN","155","201","029","Red pine","9",0.118322297588386,0,0.298494671378296,-0.807109759868518,-0.0836235378355309,1.59003415677055,"87",1,3,0,0,3,0,0,0,0,0,0,0,0,3,"2011",70,176,6.75,101
"2807","OVEN","155","201","029","Red pine","9",0.231590627691841,0,1.46492000261015,-2.22944472059888,-0.193677313018043,-1.20362113827748,"87",0,2,0,2,2,0,0,0,0,1,1,0,0,4,"2013",50,171,6.61666666666667,103
"2809","OVEN","155","201","029","Red pine","9",0.00505396748493073,0,-0.867930659853561,1.75309316944614,-0.289974366302741,-1.06393837352508,"81",1,4,0,0,3,1,0,0,0,0,0,0,0,4,"2009",51,185,6.5,99
"2810","OVEN","155","201","029","Red pine","9",-0.0515801975667969,0,-1.45114332546949,0.899692193007918,-0.193677313018043,-0.972539665076493,"79",1,5,0,0,4,1,0,0,0,0,0,0,0,5,"2008",51.6543306084369,182,6.61666666666667,98
"2811","OVEN","155","201","029","Red pine","9",0.0616881325366584,0,-0.284717994237633,0.0462912165696997,-0.262460922507113,-0.64489007926787,"85",1,1,2,1,1,0,0,2,0,0,0,1,0,4,"2010",54,179,6.53333333333333,100
"2814","OVEN","155","201","029","Red pine","9",0.174956462640114,0,0.881707336994224,0.330758208715772,0.494158781872657,1.03130309776095,"91",1,1,1,1,1,0,0,1,0,0,1,0,0,3,"2012",66,180,7.45,102
"2817","OVEN","156","201","029","Red pine","9",1.87398141419194,0,-0.284717994237633,0.0462912165696997,-0.0423533721420891,-0.64489007926787,"85",1,3,0,1,2,1,0,0,1,0,0,0,0,4,"2010",54,179,6.8,132
"2821","OVEN","156","201","029","Red pine","9",2.04388390934713,0,1.46492000261015,-2.22944472059888,-0.0148399283464612,-1.20362113827748,"87",0,2,1,1,2,0,0,1,1,0,0,0,0,4,"2013",50,171,6.83333333333333,135
"2825","OVEN","156","201","029","Red pine","9",1.9872497442954,0,0.881707336994224,0.330758208715772,0.700509610339867,1.59003415677055,"91",1,1,1,0,1,0,1,0,0,0,0,0,0,2,"2012",70,180,7.7,134
"2827","OVEN","156","201","029","Red pine","9",1.93061557924367,0,0.298494671378296,-0.807109759868518,0.0952138468360511,1.59003415677055,"87",1,2,0,0,2,0,0,0,0,0,0,0,0,2,"2011",70,176,6.96666666666667,133
"2830","OVEN","156","201","029","Red pine","9",1.81734724914022,0,-0.867930659853561,1.75309316944614,-0.111136981631159,-0.924255608772674,"81",1,4,0,1,4,0,0,0,0,0,0,0,1,5,"2009",52,185,6.71666666666667,131
