"","abbrev","site","standunique","fstype","fstypename","stockdens","siteage","logged","year","jd","time","temp","obs","firstyr","X1","X2","X3","W1","W2","W3","W4","W5","W6","W7","W8","W9","N","year.unscale","temp.unscale","jd.unscale","time.unscale","siteage.unscale"
"58","OVEN","1","235","029","Red pine","9",-0.561287683032346,0,-0.867930659853561,-1.09157675201459,-0.606378969952463,-0.505207314515469,"79",0,1,0,0,1,0,0,0,0,0,0,0,0,1,"2009",55,175,6.11666666666667,89
"64","OVEN","1","235","029","Red pine","9",-0.391385187877163,0,0.881707336994224,0.330758208715772,1.16823815486554,0.751937568256145,"92",1,0,2,2,0,0,1,1,0,2,0,0,0,4,"2012",64,180,8.26666666666667,92
"65","OVEN","1","235","029","Red pine","9",-0.504653517980618,0,-0.284717994237633,0.330758208715772,-1.63813311228851,-2.32108325629669,"85",1,0,0,1,0,0,0,0,0,0,0,1,0,1,"2010",42,180,4.86666666666667,90
"69","OVEN","1","235","029","Red pine","9",-0.334751022825435,0,1.46492000261015,-2.22944472059888,-1.28045834294535,-0.365524549763067,"92",0,2,0,2,2,0,0,0,2,0,0,0,0,4,"2013",56,171,5.3,93
"70","OVEN","1","235","029","Red pine","9",-0.617921848084074,0,-1.45114332546949,-0.807109759868518,0.0401869592447953,0.472572038751342,"78",1,2,0,0,2,0,0,0,0,0,0,0,0,2,"2008",62,176,6.9,88
"71","OVEN","1","235","029","Red pine","9",-0.448019352928891,0,0.298494671378296,0.0462912165696997,-1.63813311228851,-1.20362113827748,"86",1,2,0,0,2,0,0,0,0,0,0,0,0,2,"2011",50,179,4.86666666666667,91
"80","OVEN","2","235","029","Red pine","9",-0.504653517980618,0,-0.284717994237633,0.330758208715772,-1.45929572761693,-2.32108325629669,"85",1,2,0,0,0,2,0,0,0,0,0,0,0,2,"2010",42,180,5.08333333333333,90
"81","OVEN","2","235","029","Red pine","9",-0.448019352928891,0,0.298494671378296,0.0462912165696997,-1.44553900571912,-1.20362113827748,"86",1,2,0,0,2,0,0,0,0,0,0,0,0,2,"2011",50,179,5.1,91
"82","OVEN","2","235","029","Red pine","9",-0.391385187877163,0,0.881707336994224,0.330758208715772,1.44337259282182,1.03130309776095,"92",1,5,0,0,4,1,0,0,0,0,0,0,0,5,"2012",66,180,8.6,92
"84","OVEN","2","235","029","Red pine","9",-0.617921848084074,0,-1.45114332546949,-0.807109759868518,-0.138650425426787,0.472572038751342,"78",1,3,1,0,2,1,0,1,0,0,0,0,0,4,"2008",62,176,6.68333333333333,88
"86","OVEN","2","235","029","Red pine","9",-0.334751022825435,0,1.46492000261015,-2.22944472059888,-1.07410751447814,-0.365524549763067,"92",0,2,1,0,1,1,1,0,0,0,0,0,0,3,"2013",56,171,5.55,93
"87","OVEN","2","235","029","Red pine","9",-0.561287683032346,0,-0.867930659853561,-1.09157675201459,-0.785216354624045,-0.225841785010666,"79",0,4,0,0,4,0,0,0,0,0,0,0,0,4,"2009",57,175,5.9,89
"100","OVEN","3","235","029","Red pine","9",-0.561287683032346,0,-0.867930659853561,-1.09157675201459,-1.18416128966065,-0.505207314515469,"79",0,0,1,0,0,0,1,0,0,0,0,0,0,1,"2009",55,175,5.41666666666667,89
"103","OVEN","3","235","029","Red pine","9",-0.448019352928891,0,0.298494671378296,0.0462912165696997,-1.25294489914972,-1.06393837352508,"86",1,2,1,0,2,0,0,1,0,0,0,0,0,3,"2011",51,179,5.33333333333333,91
"107","OVEN","3","235","029","Red pine","9",-0.504653517980618,0,-0.284717994237633,0.330758208715772,-1.18416128966065,-2.32108325629669,"85",1,3,0,1,2,1,0,0,0,0,1,0,0,4,"2010",42,180,5.41666666666667,90
"108","OVEN","3","235","029","Red pine","9",-0.617921848084074,0,-1.45114332546949,-0.807109759868518,-0.358757975791811,0.472572038751342,"78",1,2,0,1,2,0,0,0,1,0,0,0,0,3,"2008",62,176,6.41666666666667,88
"172","OVEN","7","236","028","Red pine","8",1.30763976367467,1,0.881707336994224,0.330758208715772,-0.0148399283464612,-0.0861590202582643,"92",1,3,0,1,3,0,0,0,0,0,0,0,1,4,"2012",58,180,6.83333333333333,122
"175","OVEN","7","236","028","Red pine","8",1.19437143357121,1,-0.284717994237633,0.330758208715772,-0.248704200609299,-2.74013155055389,"85",1,1,0,1,1,0,0,0,0,1,0,0,0,2,"2010",39,180,6.55,120
"177","OVEN","7","236","028","Red pine","8",1.36427392872639,1,1.46492000261015,-2.22944472059888,0.0814571249382372,-0.0861590202582643,"92",0,4,1,0,4,0,1,0,0,0,0,0,0,5,"2013",58,171,6.95,123
"179","OVEN","7","236","028","Red pine","8",1.08110310346776,1,-1.45114332546949,-0.807109759868518,0.617969278952983,1.03130309776095,"78",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"2008",66,176,7.6,118
